Gene_ID,Gene_name
31547_at,D37933
31548_at,ADPRH
31549_at,MAS1
31550_at,ADRB1
31554_at,CHRND
31558_at,HR44
31559_at,SLC13A2
31560_at,IL1RL2
31562_at,GRK1
31564_at,IGHG1
31566_at,U00956
31569_at,SLC1A7
31577_at,COL19A1
31578_at,CFTR
31579_at,LINC00302
31580_at,AF028840
31581_at,IGKC
31585_at,GRM7
31587_at,SLC14A2
31591_s_at,CFHR4
31592_at,AJ002425
31597_r_at,EIF4EBP1
31601_s_at,RBMY1J
31602_at,TBX6
31603_at,AIM2
31606_at,RIMS1
31608_g_at,VDAC1
31611_s_at,BCL2L11
31612_at,SCGB1D1
31617_at,PDPN
31619_at,K00627
31621_s_at,ELN
31623_f_at,MT1A
31628_at,SLC15A1
31631_f_at,PTTG2
31635_g_at,PRH1
31641_s_at,MMP23A
31643_at,NEU3
31644_at,CCL27
31646_at,UGT2A2
31648_at,AB016899
31649_at,AB016900
31651_at,C6orf123
31652_at,MYH15
31653_at,SLC6A2
31659_at,LRIT1
31665_s_at,EIF2A
31668_f_at,W28193
31669_s_at,HOXA11
31670_s_at,SRP72
31676_at,ZNF208
31677_at,U28131
31681_at,EPOR
31682_s_at,VCAN
31684_at,ANXA2P1
31688_at,LCE2B
31689_at,HERC4
31690_at,GLUD2
31694_at,DDI2
31699_at,PIK3CB
316_g_at,PRDM2
31704_at,DNASE1L2
31706_at,MUC7
31710_at,31710_at
31712_at,DLGAP2
31717_at,PIN1P1
31718_at,ABCD2
31724_at,SHH
31728_at,HLA-DOA
31731_at,CBX4
31734_at,HOXC11
31740_s_at,PAX4
31743_at,LOC100287076
31746_at,POM121L2
31747_g_at,POM121L2
31755_at,EN2
31758_at,W28876
31759_at,SAG
31760_at,SAG
31763_at,OR7A5
31764_at,GPR98
31765_at,DOCK10
31767_at,XYLB
31768_at,HIST1H2AI
31769_at,WNT8B
31770_at,W27119
31774_at,AF068863
31777_at,MUSK
31782_at,PTGDR
31784_at,NTN3
31787_at,CAMLG
31788_at,ZBED4
31794_at,NT5C2
31795_at,ADRBK2
31796_at,KIF1C
31803_at,ICOSLG
31805_at,FGFR3
31808_at,ING3
31809_at,CNTN1
31810_g_at,CNTN1
31813_at,CAMK2A
31814_i_at,LRP3
31815_r_at,LRP3
31832_at,TMEM194A
31833_at,PIP5K1A
31834_r_at,ACSL6
31835_at,HRG
31836_at,MTIF2
31838_at,FAM216A
31844_at,HGD
31847_at,USPL1
31850_at,GCLC
31851_at,TRIM13
31852_at,ANKMY2
31855_at,SRPX
31856_at,LRRC32
31857_r_at,DHX34
31859_at,MMP9
31867_at,BBX
31871_r_at,EHHADH
31874_at,GAS2L1
31876_r_at,THAP9-AS1
31877_at,CDC23
31879_at,FUBP3
31880_at,UBXN8
31881_at,SGMS1
31884_at,MLH3
31885_at,PTPN3
31886_at,NT5E
31887_at,CKMT1A
31890_s_at,ZNF143
31892_at,PTPRM
31895_at,BACH1
31896_at,NBAS
31897_at,FILIP1L
31903_at,SS18L1
31910_at,U92021
31913_at,ELF5
31914_at,CHD1L
31916_at,KLRAP1
31917_at,PCDHA13
31921_at,OR2F1
31924_at,ADCY10
31925_s_at,RASGRF1
31927_s_at,C21orf33
31930_f_at,RHCE
31933_r_at,BTF3
31934_at,ADAM10
31937_at,KIAA0430
31939_at,BAI3
31943_g_at,TULP3
31965_at,EMR2
31966_at,DIO1
31970_r_at,PPEF2
31972_at,F2RL2
31973_at,CACNA1G
31975_at,MT4
31986_at,REPS1
31987_at,AL049268
31989_s_at,KIF17
31990_at,KIF17
31996_at,ARFGEF2
31998_at,ABCA1
32005_at,PMCH
32011_g_at,32011_g_at
32014_at,ADAM18
32018_at,PARD6B
32019_at,DKFZP434C153
32021_at,32021_at
32023_at,ZNF391
32024_at,KHDRBS2
32025_at,TCF7L2
32040_i_at,CDC5L
32041_r_at,CDC5L
32043_at,STC2
32044_at,UBE3C
32048_at,TCEB3
32049_f_at,TCEB3
32050_r_at,TCEB3
32054_at,CCNT2
32057_at,LRRC17
32059_at,UBXN2B
32061_at,INTS9
32062_at,LRRC14
32063_at,PBX1
32064_at,MED1
32072_at,MSLN
32073_at,KDM4A
32074_at,DCLRE1A
32078_at,NEDD4
32081_at,CIT
32082_at,SENP5
32083_at,GPR137B
32088_at,BLZF1
32089_at,SPAG6
32090_at,NMNAT2
32097_at,PCNT
32098_at,COL6A2
32102_at,SACS
32105_f_at,CAMK2G
32113_at,AIM1
32114_s_at,SPECC1L
32119_at,ZBTB20
32124_at,THOC2
32125_at,THOC2
32127_at,BICD1
32128_at,CCL18
32130_at,LOC100506033
32131_at,DZIP3
32132_at,DZIP3
32136_r_at,TPD52L1
32138_at,DNM1
32141_at,PPM1E
32146_s_at,ADD1
32148_at,FARP1
32149_at,MSMB
32150_at,GOLGA4
32154_at,TFAP2A
32159_at,KRAS
32161_at,LONP2
32164_at,EXT1
32168_s_at,RCAN1
32170_g_at,FBXO21
32173_at,HRSP12
32174_at,SLC9A3R1
32176_at,RASA4B
32179_s_at,SNAP23
32184_at,LMO2
32185_at,WNK1
32187_at,PCMTD2
32190_at,FADS2
32191_at,PCGF2
32197_at,SLC25A11
32210_at,PGM1
32212_at,AIFM1
32214_at,TXNL1
32229_at,EIF4E2
32233_at,TOR1B
32234_at,TOR1A
32237_at,KLHDC10
32239_at,MATN2
32243_g_at,CRYAB
32247_at,X53795
32248_at,WDR82
32249_at,CFHR1
32251_at,TCEAL4
32257_f_at,TERF1
32262_at,METTL13
32266_at,CDH12
32268_at,MAGI1
32277_at,KCNA3
32281_at,AF070549
32283_at,LINC00893
32284_at,TBX1
32285_g_at,TBX1
32286_at,TBX1
32287_s_at,KLRC3
32289_at,PTPRS
32292_at,COLEC10
32296_at,CA5A
32297_s_at,KLRC2
322_at,PIK3R3
32302_g_at,GUCY1A2
32309_at,U22172
32319_at,TNFSF4
32327_at,POU3F2
32342_at,CYP11B2
32344_r_at,KCNA4
32345_at,NTRK3
32346_at,AL049351
32348_at,AL109726
32361_s_at,TOP3B
32383_at,GHRHR
32387_at,PLA2G15
32388_at,AB007973
32389_at,W25892
32398_s_at,LRP8
323_at,PSKH1
32403_at,HTR7P1
32404_at,CNGA3
32413_at,RPS14
32420_at,GPR6
32421_at,AKAP5
32422_at,DOC2B
32425_at,CHRNA2
32428_at,AF026564
32429_f_at,ZNF33B
32441_at,CTPS1
32442_at,LOC100506699
32450_at,SCN7A
32451_at,MS4A3
32452_at,CDK3
32454_at,AL080215
32455_s_at,PELP1
32456_s_at,ATP2B3
32457_f_at,PRB4
32460_at,GABRB2
32461_f_at,ZNF81
32462_s_at,ARHGAP6
32464_at,DEFB4A
32470_at,GIF
32472_at,OXT
32473_at,KCNA6
32476_at,MAGEB3
32479_at,TNFRSF11A
32484_at,ACKR2
32488_at,COL3A1
32489_at,GRIN2B
32490_at,CEACAM4
32491_at,DRD3
32493_at,TEF
32494_at,HTR1D
32495_at,CLCN1
32500_at,D16471
32502_at,GDPD5
32503_at,SNX27
32504_at,SNX27
32505_at,GRINA
32510_at,AKR7A2
32512_at,NEFM
32515_s_at,CTSZ
32517_at,CAPN7
32518_at,ZPR1
32519_at,MAP2K2
32522_f_at,CLTB
32523_at,CLTB
32539_at,COPS8
32546_at,FH
32556_at,U2AF2
32559_s_at,LSM4
32561_at,SPIDR
32565_at,SMARCD3
32570_at,HPGD
32571_at,MAT2A
32578_at,MLX
32581_at,RAB2A
32584_at,PSMD8
32595_at,GRSF1
32598_at,NELL2
32600_at,DOK4
32601_s_at,POLR2C
32602_at,RAP1GDS1
32604_s_at,CEP68
32614_at,SV2B
32618_at,BLVRA
32620_at,FETUB
32624_at,RALGAPA1
32625_at,NPR1
32627_at,RANBP6
32633_at,ICA1
32635_at,TRIM33
32637_r_at,SMG1
32638_s_at,SMG1
32640_at,ICAM1
32643_at,GBE1
32645_at,PDE4DIP
32649_at,TCF7
32651_at,TAGLN3
32653_at,BRD8
32654_g_at,BRD8
32655_s_at,BRD8
32657_at,IQCB1
32665_at,PPM1B
32666_at,CXCL12
32667_at,COL4A5
32674_at,ZNF638
32678_at,MYO5A
32682_at,TMPO
32683_at,TMPO
32700_at,GBP2
32707_at,KATNA1
32708_g_at,KATNA1
32711_g_at,KCNAB1
32717_at,NEURL1
32718_at,TPST1
32720_at,ATG12
32722_at,ARG2
32725_at,BID
32731_at,APBB3
32732_at,MRPS14
32734_at,PPP2R5E
32741_at,RABEP1
32745_at,MRPL40
32753_at,SF3B3
32758_g_at,RAE1
32762_i_at,RAB3GAP2
32763_r_at,RAB3GAP2
32764_at,CPQ
32768_at,TDRD3
32769_at,WDFY3
32770_at,SEC24D
32771_at,GC
32776_at,RALB
32777_at,WRB
32778_at,ITPR1
32779_s_at,ITPR1
32781_f_at,DST
32782_r_at,DST
32790_at,NCBP2
32796_f_at,PRSS2
32802_at,MARCH6
32809_at,ZNF24
32810_at,TPMT
32813_s_at,KATNB1
32817_at,SEC14L2
32822_at,SLC25A4
32828_at,BCKDK
32829_at,TIMM17A
32830_g_at,TIMM17A
32834_r_at,RIOK3
32835_at,RIOK3
32840_at,32840_at
32844_at,EIF4G1
32845_at,HSPG2
32847_at,MYLK
32848_at,PSMC4
32850_at,NUP153
32853_at,TOMM70A
32854_at,FBXW11
32856_at,MICAL3
32861_s_at,CD28
32865_at,LINC01314
32867_at,CHM
32868_at,TGM3
32871_at,AL049263
32876_s_at,RHO
32883_at,ZNF160
32889_at,RUNDC3B
32893_s_at,GGT2
32901_s_at,IFRD1
32905_s_at,TPSB2
32906_at,SLC15A1
32907_at,HTR6
32909_at,AQP5
32910_at,KDM7A
32911_s_at,KDM7A
32914_f_at,CACTIN
32919_at,AMIGO2
32921_at,GUSBP3
32925_at,MATN4
32929_at,DOLPP1
32934_i_at,F08219
32939_g_at,EFR3B
32942_at,ST8SIA5
32943_at,DBH
32945_i_at,MBL2
32947_at,SCN9A
32949_at,DSCR4
32951_g_at,POU6F2
32957_g_at,IQCK
32961_at,DENND4A
32963_s_at,RRAGD
32965_f_at,HSPA1B
32969_r_at,VGF
32970_f_at,HABP4
32972_at,NOX1
32987_at,CENPI
32989_at,RFX1
33005_at,AF010144
33009_at,MAP3K1
33011_at,NTSR2
33012_at,TNFSF8
33025_at,TP53TG5
33027_at,AGAP5
33032_r_at,AF055011
33033_at,ATP6V1G2
33035_at,TIPRL
33036_at,TRPA1
33042_r_at,AF055018
33050_at,DRD5
33051_at,GABRR1
33054_at,DNAH3
33056_at,EXOG
33059_at,PART1
33062_at,ZNF548
33066_at,PTPRB
33068_f_at,UGT2B15
33069_f_at,UGT2B15
33070_at,HCRTR1
33076_at,AF070543
33077_at,AF052150
33078_at,PRAMEF12
33080_s_at,RAP1GAP
33083_at,KIAA0509
33084_at,CPLX2
33088_at,KCNH1
33090_at,EFNA2
33091_at,HOXD13
33092_at,FPR3
33093_at,IL18RAP
33097_at,CEBPE
33104_at,PLEKHB1
33107_at,TRIM37
33108_i_at,SOX2
33119_at,FAM134B
33126_at,GLT8D1
33127_at,LOXL2
33128_s_at,CST6
33130_at,HOXD1
33138_at,33138_at
33140_at,B3GNT1
33142_at,GPR39
33147_at,ZFR
33149_at,CLP1
33150_at,UTP3
33152_at,ARF6
33157_at,INSM1
33162_at,INSR
33165_at,TOE1
33166_at,TRADD
33167_r_at,ADSS
33168_at,SLC46A3
33171_s_at,SEPT11
33172_at,SEPT11
33174_s_at,BBS4
33175_at,BBS4
33176_at,DOHH
33179_at,PPP1R2
33182_at,NTRK2
33183_at,GALK1
33185_at,CLCC1
33187_r_at,WHAMMP2
33191_at,FAM178A
33193_at,WIPI1
33195_at,DHODH
33196_at,NFRKB
33202_f_at,FXN
33203_s_at,FOXD1
33205_at,AF064804
33206_at,MTSS1L
33209_at,YY1
33212_at,RRBP1
33216_at,MRPS12
33217_at,CTNNBIP1
33222_at,FZD7
33224_at,CYHR1
33225_at,CYHR1
33226_at,KDM4B
33227_at,IL10RB
33233_at,ARID4B
33234_at,ARID4B
33241_at,MFAP3L
33247_at,PSMD14
33252_at,MCM3
33256_at,SLC25A12
33262_at,SLC25A16
33265_at,PEX2
33270_i_at,DMXL1
33278_at,ACSM3
33285_i_at,SIKE1
33286_at,ENDOG
33289_f_at,ZNF263
33291_at,RASGRP1
33297_at,OARD1
33306_at,ZNF24
33307_at,RRP7A
33309_at,ABHD5
33310_at,ABHD5
33314_at,GCDH
33316_at,TOX
33320_at,HCP5
33326_at,RAB21
33339_g_at,STAT1
33346_r_at,TUBG1
33347_at,RNF5
33348_at,TCF12
33350_s_at,WDR45
33351_at,EIF1B
33352_at,HIST2H2BE
33354_at,SMURF2
33357_at,NCKAP1
33363_at,EIF2AK1
33379_at,SSX2IP
33385_g_at,CAST
33387_at,GAS7
33389_at,CYP51A1
33393_at,DDX19B
333_s_at,RBMS1
33406_at,CBY1
33407_at,DIP2C
33410_at,ITGA6
33418_at,RAB3GAP1
33420_g_at,API5
33421_s_at,SC5D
33432_at,MED8
33433_at,FAM98A
33434_at,BET1
33435_r_at,BET1
33436_at,SOX9
33445_at,ABAT
33455_at,ALDOB
33456_at,MAPRE1
33457_at,FAM208A
33461_at,SEMA3A
33464_at,AL109703
33465_at,ADRB3
33467_at,CD300C
33474_at,GLI1
33476_at,EDDM3A
33477_at,RAB40A
33482_at,MYOD1
33486_at,CXorf23
33487_at,HPD
33488_at,TLR3
33490_at,TXK
33491_at,SI
33492_at,SLMO1
33494_at,ETFDH
33504_at,NXPH2
33506_at,INPP4A
33507_g_at,INPP4A
33508_at,INPP4A
33509_at,GRM1
33511_at,ZNF80
33512_at,GUCA2B
33514_at,CAMK4
33523_at,ALPI
33524_at,CRKL
33525_at,NPY2R
33537_at,KRT32
33541_s_at,LAIR2
33548_f_at,FUT2
33549_at,BDKRB1
33553_r_at,CCR6
33557_at,C22orf31
33558_at,TBX5
33560_at,AF070602
33564_at,AFM
33569_at,CLEC10A
33570_at,NKX2-5
33572_at,ZNF165
33573_at,APOBEC1
33574_at,C6orf10
33575_at,CD226
33577_at,HOXA2
33582_s_at,RBMS3
33584_at,CDKL2
33587_f_at,KCND3
33589_at,AF052103
33593_at,CDY1B
33596_at,SPOCK3
33604_at,IRS4
33605_at,NKX2-2
33606_g_at,NKX2-2
33607_at,HTR1E
33608_at,LY6G6D
33616_at,ZBTB25
33622_at,CACNA1C
33624_at,CACNA1E
33629_at,WWP2
33630_s_at,SPTBN2
33631_at,TXNL4A
33632_g_at,TXNL4A
33635_at,GNA13
33637_g_at,CTAG1A
33638_at,ERBB3
33643_at,MYCL
33646_g_at,GM2A
33649_at,ST8SIA4
33650_at,DDX27
33651_at,AQP8
33653_at,MYF5
33662_at,FAM161A
33663_at,FAM161A
33665_s_at,CSF2RA
33669_at,M69296
33671_f_at,GAGE12D
33672_f_at,UGT2B17
33686_at,SPINT3
33698_at,CEP164
33702_f_at,PCK1
33707_at,PLA2G4C
33710_at,LPCAT3
33711_at,POMC
33715_r_at,GTF2H2C_2
33718_at,WIZ
33723_at,GOSR1
33725_at,MAP1A
33726_at,POLR2D
33728_at,BSN
33729_at,SLC25A14
33730_at,GPRC5A
33737_f_at,ST20
33739_at,ST20
33740_at,FAM189B
33742_f_at,ATP6V1H
33743_at,ATRNL1
33744_at,GEMIN4
33746_at,ECD
33749_at,TP53TG1
33753_at,DAAM1
33754_at,NKX2-1
33756_at,AOC3
33758_f_at,PSG11
33759_at,BPGM
33760_at,PEX14
33766_at,VIPR1
33776_at,RWDD3
33780_at,VAMP1
33784_at,TRAF2
33785_at,BAI2
33789_at,CCL15
33791_at,DLEU1
33796_at,ARL4A
33797_at,MPHOSPH10
33798_at,SMG6
33799_at,SIAH2
337_at,PARG
33800_at,ADCY9
33805_at,CEP350
33809_at,GNAI1
33810_at,TRRAP
33823_at,SCARB2
33825_at,SERPINA3
33827_at,N4BP2L2
33830_at,LEPROT
33831_at,CREBBP
33835_at,TSPYL4
33840_at,TPD52
33842_at,FAM214B
33843_g_at,FAM214B
33846_at,33846_at
33847_s_at,CDKN1B
33848_r_at,CDKN1B
33850_at,MAP4
33852_at,TIA1
33861_at,CNOT2
33862_at,PPAP2B
33864_at,ZMYND11
33878_at,EFHD1
33890_at,RGS5
33894_at,NET1
33900_at,FSTL3
33902_at,GPD1
33904_at,CLDN3
33905_at,MBD2
33906_at,SSSCA1
33911_at,PTPRD
33914_r_at,FECH
33918_s_at,HIRIP3
33921_at,SLC37A4
33924_at,DENND5A
33925_at,NRGN
33926_at,YLPM1
33927_i_at,YLPM1
33936_at,GALC
33947_at,GPR3
33948_at,CRHR2
33951_at,KCNJ10
33955_at,IL12A
33956_at,LY96
33961_at,AL109666
33962_at,PHEX
33964_at,CRYGC
33965_at,CCL1
33970_at,MAGEB1
33971_f_at,DAZL
33980_at,PFKFB1
33981_at,IL4
33985_s_at,HSP90AB1
33990_at,ALB
33991_g_at,ALB
33992_at,ALB
33999_f_at,IGHV5-78
339_at,CAV2
34005_at,PIGR
34007_at,GRM8
34009_at,CTAG2
34010_at,ARHGAP22
34011_at,HRK
34014_f_at,POU1F1
34022_at,CXCL3
34024_at,CLCN5
34028_at,GPR19
34029_at,DMP1
34031_i_at,KRIT1
34035_at,SLC10A1
34039_at,NCR1
34042_at,CHAD
34043_at,ADTRP
34044_at,HSF2BP
34050_at,ACSM1
34053_at,ZPBP
34061_at,PVT1
34062_at,ETV2
34079_at,INE1
34083_at,GATC
34092_at,34092_at
34096_at,CEP152
34101_at,W27615
34106_at,GNA12
34114_at,ANKRD34C
34123_at,MTRF1L
34129_at,STXBP5L
34136_s_at,OR2H1
34137_at,OR2H1
34138_at,GNAO1
34143_at,CHRNA1
34144_at,TLR6
34145_at,TLR6
34146_at,OGG1
34157_f_at,HIST1H2AL
34170_s_at,PKD2
34173_s_at,CNTN5
34177_at,B4GALT2
34181_at,AGA
34184_at,APC2
34186_at,PCBP4
